,Time,Total Clicks
0,13:47:08,154.0
1,13:47:11,88.0
2,13:47:14,36.0
3,13:47:17,80.0
4,13:47:20,1.0
5,13:47:23,51.0
6,13:47:26,15.0
7,13:47:29,76.0
8,13:47:34,214.0
9,13:47:37,102.0
10,13:47:52,46.0
11,13:47:55,93.0
12,13:47:58,95.0
13,13:48:01,15.0
14,13:48:04,53.0
15,13:48:07,64.0
16,13:48:10,72.0
17,13:48:13,16.0
18,13:48:26,183.0
19,13:48:29,13.0
20,13:48:32,29.0
21,13:48:35,57.0
22,13:48:40,8.0
23,13:48:44,113.0
24,13:48:47,99.0
25,13:48:50,78.0
26,13:48:53,85.0
27,13:48:56,74.0
28,13:48:59,92.0
29,13:49:02,58.0
30,13:49:05,64.0
31,13:49:08,17.0
32,13:49:11,16.0
33,13:49:14,1.0
34,13:49:18,52.0
35,13:49:21,177.0
36,13:49:24,96.0
37,13:49:27,74.0
38,13:49:30,150.0
39,13:49:33,144.0
40,13:49:36,175.0
41,13:49:39,78.0
42,13:49:43,53.0
43,13:49:46,111.0
44,13:49:49,122.0
45,13:49:52,54.0
46,13:49:55,136.0
47,13:49:58,82.0
48,13:50:01,133.0
49,13:50:04,79.0
50,13:50:07,79.0
51,13:50:10,133.0
52,13:50:13,50.0
53,13:50:16,113.0
54,13:50:19,120.0
55,13:50:22,48.0
56,13:50:25,90.0
57,13:50:28,54.0
58,13:50:31,113.0
59,13:50:34,197.0
60,13:50:37,33.0
61,13:50:40,15.0
62,13:50:43,157.0
63,13:50:46,164.0
64,13:50:49,85.0
65,13:50:53,109.0
66,13:50:56,42.0
67,13:51:00,35.0
68,13:51:03,75.0
69,13:51:06,88.0
70,13:51:09,81.0
71,13:51:12,81.0
72,13:51:15,28.0
73,13:51:18,74.0
74,13:51:21,111.0
75,13:51:24,78.0
76,13:51:27,118.0
77,13:51:30,41.0
78,13:51:33,85.0
79,13:51:36,133.0
80,13:51:39,60.0
81,13:51:42,148.0
82,13:51:45,82.0
83,13:51:48,113.0
84,13:51:51,128.0
85,13:51:54,190.0
86,13:51:57,90.0
87,13:52:00,111.0
88,13:52:03,12.0
89,13:52:06,158.0
90,13:52:09,105.0
91,13:52:12,114.0
92,13:52:15,122.0
93,13:52:18,2.0
94,13:52:21,79.0
95,13:52:24,22.0
96,13:52:27,25.0
97,13:52:31,61.0
98,13:52:34,15.0
99,13:52:37,45.0
100,13:52:40,8.0
101,13:52:46,88.0
102,13:52:49,57.0
103,13:52:53,109.0
104,13:52:56,6.0
105,13:53:00,40.0
106,13:53:03,1.0
107,13:53:23,109.0
108,13:53:26,31.0
109,13:53:31,85.0
110,13:53:34,93.0
111,13:53:37,50.0
112,13:53:40,116.0
113,13:53:43,73.0
114,13:53:46,57.0
115,13:53:49,4.0
116,13:53:53,63.0
117,13:53:56,84.0
118,13:53:59,143.0
119,13:54:04,51.0
120,13:54:07,161.0
121,13:54:10,114.0
122,13:54:13,140.0
123,13:54:16,78.0
124,13:54:19,70.0
125,13:54:22,14.0
126,13:54:28,27.0
127,13:54:31,4.0
128,13:54:35,131.0
129,13:54:38,172.0
130,13:54:41,60.0
131,13:54:44,63.0
132,13:54:47,75.0
133,13:54:50,72.0
134,13:54:54,113.0
135,13:54:57,18.0
136,13:55:03,61.0
137,13:55:06,30.0
138,13:55:10,37.0
139,13:55:14,38.0
140,13:55:17,75.0
141,13:55:20,61.0
142,13:55:28,1.0
143,13:55:32,75.0
144,13:55:35,124.0
145,13:55:38,81.0
146,13:55:41,10.0
147,13:55:44,26.0
148,13:55:47,1.0
149,13:55:51,86.0
150,13:55:54,32.0
151,13:55:57,59.0
152,13:56:00,6.0
153,13:56:03,84.0
154,13:56:06,163.0
155,13:56:09,22.0
156,13:56:12,78.0
157,13:56:16,22.0
158,13:56:19,133.0
159,13:56:22,8.0
160,13:56:26,180.0
161,13:56:29,17.0
162,13:56:32,19.0
163,13:56:35,41.0
164,13:56:38,171.0
165,13:56:41,92.0
